hotel_id,hotel_name,addressline1,city,state,longitude,latitude,url,numberrooms,yearopened,yearrenovated,number_of_reviews,rating_average,star_rating,apartment/flat,boat/cruise,capsule hotel,chalet,country house,entire bungalow,entire house,farm stay,guesthouse/bed and breakfast,holiday park/caravan park,homestay,hostel,hotel,inn,lodge,love hotel,motel,resort,resort villa,serviced apartment,tent,villa,url_edited
163,Ramana Saigon Hotel,"323 Le Van Sy Street, District 3  ",Ho Chi Minh City,,106.678101,10.787597,https://www.agoda.com/partners/partnersearch.aspx?hid=163,296.0,1996.0,2015.0,2038,8.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.agoda.com/vi-vn/ramana-saigon-hotel/hotel/ho-chi-minh-city-vn.html
902,Lotte Hotel Saigon,"2A-4A Ton Duc Thang Street, District 1",Ho Chi Minh City,Ho Chi Minh,106.706797,10.778689,https://www.agoda.com/partners/partnersearch.aspx?hid=902,283.0,2001.0,2014.0,6997,9.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.agoda.com/vi-vn/lotte-legend-hotel-saigon/hotel/ho-chi-minh-city-vn.html
3274,PARKROYAL Saigon,"309B-311 Nguyen Van Troi Street, Tan Binh Dist ",Ho Chi Minh City,Ho Chi Minh,106.668122,10.799623,https://www.agoda.com/partners/partnersearch.aspx?hid=3274,182.0,1997.0,2011.0,1004,8.3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.agoda.com/vi-vn/parkroyal-saigon-hotel/hotel/ho-chi-minh-city-vn.html
9195,Renaissance Riverside Hotel Saigon,8-15 Ton Duc Thang Street ,Ho Chi Minh City,Ho Chi Minh,106.706283,10.774478,https://www.agoda.com/partners/partnersearch.aspx?hid=9195,336.0,1999.0,2013.0,719,8.5,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.agoda.com/vi-vn/renaissance-riverside-hotel-saigon/hotel/ho-chi-minh-city-vn.html
9698,TTC Hotel Dalat,4 Nguyen Thi Minh Khai Street,Dalat,Lam Dong,108.437042,11.942183,https://www.agoda.com/partners/partnersearch.aspx?hid=9698,78.0,,2016.0,1326,8.2,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.agoda.com/vi-vn/ttc-hotel-premium-dalat/hotel/dalat-vn.html
10943,International Hotel,"6 - 8 -10 -12 Hai Ba Trung, Tan An Ward, Ninh Kieu District",Cần Thơ,Can Tho,105.78885,10.034633,https://www.agoda.com/partners/partnersearch.aspx?hid=10943,66.0,2015.0,2022.0,543,7.2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.agoda.com/vi-vn/international-hotel/hotel/can-tho-vn.html
10944,Saigon Can Tho Hotel,"55 Phan Dinh Phung, Can Tho",Cần Thơ,Can Tho,105.786925,10.032614,https://www.agoda.com/partners/partnersearch.aspx?hid=10944,52.0,1996.0,2014.0,693,7.2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.agoda.com/vi-vn/saigon-can-tho-hotel/hotel/can-tho-vn.html
10947,Victoria Chau Doc Hotel,1 Le Loi Street,Chau Doc (An Giang),An Giang,105.12422,10.708119,https://www.agoda.com/partners/partnersearch.aspx?hid=10947,92.0,,,648,8.9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.agoda.com/vi-vn/victoria-chau-doc-hotel/hotel/chau-doc-an-giang-vn.html
10949,Dalat Palace Heritage Hotel,02 Tran Phu Street ,Dalat,Lam Dong,108.440453,11.937287,https://www.agoda.com/partners/partnersearch.aspx?hid=10949,70.0,1922.0,2023.0,1481,8.8,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.agoda.com/vi-vn/dalat-palace-heritage-hotel/hotel/dalat-vn.html
10950,Du Parc Hotel Dalat,15 Tran Phu Street ,Dalat,Lam Dong,108.438934,11.936538,https://www.agoda.com/partners/partnersearch.aspx?hid=10950,140.0,1932.0,2023.0,3830,8.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://www.agoda.com/vi-vn/du-parc-hotel-dalat/hotel/dalat-vn.html
